"TOKEN";"REFTEXT"
"FRMAMBA";"SAMP/T Mamba"
"FRRAFF4AA";"Rafale F4 [AA]"
"FRRAFF4HE";"Rafale F4 [HE]"
"FRCAESARNG";"Caesar 6x6 MkII"
"FRLRUM270";"LRU M270"
"FRMEPAC";"Griffon MEPAC"
"FRTIGRHAD";"Tigre MkII HAD"
"GRENVOL";"Gren.-Voltigeurs"
"GRENVOLCDT";"CMDT Gren.-Voltigeurs"
"FRMMPAT";"MMP"
"FRGRIFPC";"VBMR Griffon PC"
"FRJAGUAR";"EBRC Jaguar"
"FRLECXLR";"Leclerc XLR"
"FRVBCIVBI";"VBCI/VBI"
"FRGRIFFON";"VBMR Griffon"
"FRGBC180L";"GBC 180 Log"
"FRGCM";"GCM"
"FRGUEPARD";"H160M Guepard"
"FR1DB";"1ere Division Blindé"
