"TOKEN";"REFTEXT"

"DIV";"div"
"FR1DB";"1re Division Blindé"

"UNITS";"units"
"FRGBC180L";"GBC 180 Log"
"FRGRIFPC";"VBMR Griffon PC"
"FRCAESARNG";"Caesar 6x6 MkII"
"FRMAMBA";"SAMP Mamba"
"FRLECXLR";"Leclerc XLR"

"AMMO";"ammo"
"GALIX8";"GALIX"
"GALIX13";"GALIX"
"GALIX14";"GALIX"
"M2HBSTAT";"M2 HB"
"M2HBMNTD";"M2 HB - Mounted"
"M2HBCOAX";"M2 HB - Coaxial"
"T1HRNTM2";"T1 Hornet RWS - M2 HB"
"KONS2M2";"Kongsberg S2 - M2 HB"
"MAG58STAT";"MAG 58"
"MAG58MNTD";"MAG 58 - Mounted"
"MAG58COAX";"MAG 58 - Coaxial"
"T1HRNT58";"T1 Hornet RWS - MAG 58"
"T2HRNTL58";"T2 Hornet Lite - MAG 58"
"T3HRNT58";"T3 Hornet S RCWS - MAG 58"
"AANF1STAT";"AANF1"
"AANF1MNTD";"AANF1 - Mounted"
"AANF1COAX";"AANF1 - Coaxial"
"CN120AP";"GIAT CN 120-26/52"
"CN120HE";"GIAT CN 120-26/52"
"15552CESAR";"155/52"
"T1HRNTAGL";"T1 Hornet RWS - AGL GMG 40mm"
"ASTER30X8";"ASTER 30 Block 1"
